,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
38,38,hHBB_LinearDesign_hHBB,5mC,18.0,3,5,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.0171051 -0.0171051 -0.0171051 ...  0.238948   0.2661284  0.2871039],"[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 242 369],[ 7.95449954 11.30011851 32.84909097],[110 242 414],[ 7.96035866 10.90017823 13.29502084],[ 23.20820135 235.51444524 972.88762911],[203.30786577  66.760373    49.909055  ],[35.0621096 26.8310053 51.03049  ],[168.24575616  39.9293677   -1.121435  ],646.0892230000005,-0.02808546853097314,-0.018344435426213255
39,39,hHBB_LinearDesign_hHBB,5mC,24.0,3,6,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02071762 0.02071762 0.02071762 ... 0.05956082 0.07075639 0.07437118],"[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 243 368 747],[ 8.01241002 11.37401532 30.97393092  6.47686164],[110 242 414],[ 7.96035866 10.90017823 13.29502084],[ 23.20820135 235.51444524 972.88762911],[202.95625999  76.2773128   43.052185  ],[45.48174408 31.9271018  48.081166  ],[157.47451591  44.350211    -5.028981  ],698.5300068000003,-0.11339249321722529,-0.07406396896483033
40,40,hHBB_LinearDesign_hHBB,PSU,0.0,7,9,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.0198288 -0.0198288 -0.0198288 ...  0.1566807  0.1669379  0.1750032],"[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 242 402 536],[ 8.23765386 11.46913205  6.76080005  7.66859673],[110 242 402],[ 8.23765386 11.46913205  6.76080005],[ 23.72265504 232.91504145 909.2476468 ],[217.04521236  51.7913063  226.108235  ],[35.05289706 17.2566756  64.406741  ],[181.9923153  34.5346307 161.701494 ],637.2704341749994,4.682299787847449,1.0
41,41,hHBB_LinearDesign_hHBB,PSU,0.5,7,10,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03268814 -0.03268814 -0.03268814 ... -0.03126876 -0.01719962
 -0.00997543]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 242 402 536],[ 8.46752008 11.54985626  6.85048655  8.073125  ],[110 242 402],[ 8.46752008 11.54985626  6.85048655],[ 23.72265504 232.91504145 909.2476468 ],[220.28898717  60.2398692  254.534403  ],[41.81876919 18.4613112  74.967193  ],[178.47021798  41.778558   179.56721   ],695.5949034360001,4.2980710344287125,0.9179401638451317
42,42,hHBB_LinearDesign_hHBB,PSU,1.0,7,11,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02360153 -0.02360153 -0.02360153 ...  0.3247226   0.2992426
  0.2936531 ]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 241 400 532],[ 8.37832008 11.42501606  7.08793612  8.82210965],[110 241 400],[ 8.37832008 11.42501606  7.08793612],[ 23.72265504 230.21062271 897.59197602],[223.9933876  58.5120729 251.339573 ],[31.7413485 17.6804148 77.422728 ],[192.2520391  40.8316581 173.916845 ],687.7517209548001,4.259362785955538,0.9096732330147652
43,43,hHBB_LinearDesign_hHBB,PSU,1.5,7,12,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05870438 -0.05870438 -0.05870438 ...  0.173655    0.2140694
  0.2557124 ]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 241 401 533],[ 8.44649704 11.56479516  7.25318506  9.04869896],[110 241 401],[ 8.44649704 11.56479516  7.25318506],[ 23.72265504 230.21062271 903.40890801],[226.10105301  56.6789371  246.467312  ],[43.36605261 19.2050772  75.828896  ],[182.7350004  37.4738599 170.638416 ],704.7659639520001,4.553531887437086,0.9724990055646223
44,44,hHBB_LinearDesign_hHBB,PSU,2.0,8,1,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04886627 -0.04886627 -0.04886627 ... -0.00404073 -0.00799155
  0.00016864]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 243 407 541],[ 7.70917132 11.01089688  7.19532959  8.84975964],[110 243 407],[ 7.70917132 11.01089688  7.19532959],[ 23.42617456 234.42514301 928.75106912],[173.38810139  44.8379806  165.766813  ],[37.378676  13.3589964 52.664696 ],[136.00942539  31.4789842  113.102117  ],497.83846917100004,3.5929404926604955,0.7673452481589704
45,45,hHBB_LinearDesign_hHBB,PSU,3.0,8,2,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00727081 0.00727081 0.00727081 ... 0.1711303  0.2081202  0.2584592 ],"[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 242 405 540],[ 7.73219971 11.55439751  7.38285917 10.1402788 ],[110 242 405],[ 7.73219971 11.55439751  7.38285917],[ 23.42617456 231.80421738 916.82088176],[177.41906449  51.3512413  169.85082   ],[29.619778  20.8918116 65.935832 ],[147.79928649  30.4594297  103.914988  ],576.9814431499998,3.4115867901492587,0.7286134901066718
46,46,hHBB_LinearDesign_hHBB,PSU,4.0,8,3,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.0008049   0.0008049   0.0008049  ... -0.01887636 -0.02824084
 -0.03123817]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 242 405 538],[ 7.66983961 11.36863679  7.44311762  9.68740579],[110 242 405],[ 7.66983961 11.36863679  7.44311762],[ 23.42617456 231.80421738 916.82088176],[178.69829531  67.2728959  214.341276  ],[33.53859208 24.662814   81.343168  ],[145.15970323  42.6100819  132.998108  ],699.2180339000001,3.1212826183279403,0.6666131516031909
47,47,hHBB_LinearDesign_hHBB,PSU,5.0,8,4,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04526138 -0.04526138 -0.04526138 ...  0.1043713   0.1002756
  0.07877515]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 243 406 540],[ 7.8575979  11.56469043  7.93149072 11.56925197],[110 243 406],[ 7.8575979  11.56469043  7.93149072],[ 23.42617456 234.42514301 922.77445791],[178.69860803  60.3526577  180.952447  ],[37.99382664 21.002424   74.033504  ],[140.70478139  39.3502337  106.918943  ],650.7435873399996,2.7171107499674148,0.5802940591329645
48,48,hHBB_LinearDesign_hHBB,PSU,18.0,8,5,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04816437 -0.04816437 -0.03858602 ...  0.06619756  0.08165456
  0.08449223]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 242 383],[ 7.94010099 11.52588486 44.96967138],[110 243 406],[ 7.8575979  11.56469043  7.93149072],[ 23.42617456 234.42514301 922.77445791],[184.61824441  65.336563    92.005978  ],[32.18758384 22.7985156  63.1484    ],[152.43066057  42.5380474   28.857578  ],700.3720204,0.6783945141779122,0.14488489522576775
49,49,hHBB_LinearDesign_hHBB,PSU,24.0,8,6,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03816223 -0.03816223 -0.03816223 ...  0.1258554   0.1233921
  0.1160717 ]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 242 383],[ 7.88086641 11.64334359 45.68717123],[110 243 406],[ 7.8575979  11.56469043  7.93149072],[ 23.42617456 234.42514301 922.77445791],[182.8586627  60.8767473  62.946686 ],[35.6437632 20.7777132 50.613104 ],[147.2148995  40.0990341  12.333582 ],661.3706528100003,0.30757803216013085,0.06568952140963424
50,50,hHBB_Nluc_hHBB,5mC,0.0,3,7,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01672363 0.01672363 0.01672363 ... 0.166636   0.1611127  0.1569814 ],"[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 242 380],[ 7.97416311 10.43887978 16.34076878],[110 242 380],[ 7.97416311 10.43887978 16.34076878],[ 23.20820135 235.51444524 776.2247992 ],[197.76351132  66.0725701  298.086179  ],[32.70476656 23.8543063  63.30579   ],[165.05874476  42.2182638  234.780389  ],753.6377510389998,5.561109526252,1.0
51,51,hHBB_Nluc_hHBB,5mC,0.5,3,8,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02672577 -0.02672577 -0.02672577 ...  0.115141    0.1288621
  0.1348391 ]","[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 242 380],[ 7.96605572 10.12332204 16.88750398],[110 242 380],[ 7.96605572 10.12332204 16.88750398],[ 23.20820135 235.51444524 776.2247992 ],[195.9379686  76.2464863 238.830084 ],[38.6090744 28.05891   74.876347 ],[157.3288942  48.1875763 163.953737 ],743.2039518599998,3.4024067942176233,0.6118215759204315
52,52,hHBB_Nluc_hHBB,5mC,1.0,3,9,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05677032 -0.05677032 -0.05677032 ...  0.09901772  0.1176737
  0.1238141 ]","[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 242 379],[ 7.98066702 10.19301021 17.18961635],[110 242 379],[ 7.98066702 10.19301021 17.18961635],[ 23.20820135 235.51444524 770.85162592],[199.95844304  72.4488216  181.350637  ],[37.4203156 30.3289096 70.7634792],[162.53812744  42.119912   110.5871578 ],698.2307049999998,2.625531549068763,0.4721236898274655
53,53,hHBB_Nluc_hHBB,5mC,1.5,3,10,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05279541 -0.05279541 -0.05279541 ...  0.05877215  0.08961077
  0.08899226]","[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 241 378 662],[ 8.03729201 10.194195   17.93120984  5.66965018],[110 241 378],[ 8.03729201 10.194195   17.93120984],[ 23.20820135 232.9346756  765.50150664],[209.30465477  84.808819   152.816256  ],[26.75787975 37.111624   77.3425854 ],[182.54677502  47.697195    75.4736706 ],743.5716746999994,1.5823502954419009,0.28453859575543217
54,54,hHBB_Nluc_hHBB,5mC,2.0,3,11,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1079025  -0.1079025  -0.1079025  ...  0.05677413  0.06164265
  0.07031229]","[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 242 379],[ 8.08203997  9.86252148 19.39151393],[110 242 379],[ 8.08203997  9.86252148 19.39151393],[ 23.20820135 235.51444524 770.85162592],[205.57235557  91.73076    168.5874845 ],[34.5954582 43.83911   83.737076 ],[170.97689737  47.89165     84.8504085 ],808.7358662000001,1.7717161237919337,0.31859040276554496
55,55,hHBB_Nluc_hHBB,5mC,3.0,3,12,nts-Eukaryote Total RNA Nano_2020-10-21_16-34-50_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.08815002 -0.08815002 -0.08815002 ...  0.05285282  0.07274175
  0.06670645]","[  -18.12202321   -18.02465144   -17.92464422 ... 10824.08119312
 10848.86336397 10873.67276466]",[110 242 379],[ 8.15757029 13.65136804 11.88428751],[110 242 379],[ 8.15757029 13.65136804 11.88428751],[ 23.20820135 235.51444524 770.85162592],[202.6609568 115.089918   75.319769 ],[34.422831 59.601486 47.023236],[168.2381258  55.488432   28.296533 ],752.8963308680003,0.509953732338301,0.0916999979825955
56,56,hHBB_Nluc_hHBB,5mC,4.0,4,1,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.08101654  0.08101654  0.08101654 ... -0.06570138 -0.07817695
 -0.06598276]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 242],[ 7.61780933 13.99557039],[110 242 379],[ 8.15757029 13.65136804 11.88428751],[ 23.24409012 235.32856962 771.25444387],[154.15139948 112.491261    47.79999   ],[15.95980763 61.169654   46.6173    ],[138.19159185  51.321607     1.18269   ],649.7606683699997,0.023044679797341382,0.004143899646024903
57,57,hHBB_Nluc_hHBB,5mC,5.0,4,2,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00859833 -0.00859833 -0.00859833 ... -0.03567432 -0.0415161
 -0.07375544]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243],[ 7.69034072 15.65858427],[110 242 379],[ 8.15757029 13.65136804 11.88428751],[ 23.24409012 235.32856962 771.25444387],[153.09653728 104.67733     33.326027  ],[15.279246  62.912374  30.8816916],[137.81729128  41.764956     2.4443354 ],616.8647946587002,0.058525990066887384,0.010524157057257587
58,58,hHBB_Nluc_hHBB,5mC,18.0,4,3,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.00170517  0.00170517  0.00170517 ... -0.07587534 -0.09639142
 -0.1089197 ]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243],[ 7.72820352 15.43070981],[110 242 379],[ 8.15757029 13.65136804 11.88428751],[ 23.24409012 235.32856962 771.25444387],[158.08178213 133.359775     4.6027429 ],[18.99002574 82.172986    4.6738092 ],[ 1.39091756e+02  5.11867890e+01 -7.10663000e-02],634.7985525100003,-0.0013883719097910212,-0.00024965735762567096
59,59,hHBB_Nluc_hHBB,5mC,24.0,4,4,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05583954 -0.05583954 -0.05583954 ...  0.08761375  0.0957524
  0.09838229]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243],[ 7.74616563 15.56955206],[110 242 379],[ 8.15757029 13.65136804 11.88428751],[ 23.24409012 235.32856962 771.25444387],[154.75355846 139.108557     1.80767364],[20.00499705 83.602176    2.2522326 ],[134.74856141  55.506381    -0.44455896],658.4165449600006,-0.008009150461457767,-0.0014402072866303828
60,60,hHBB_Nluc_hHBB,PSU,0.0,8,7,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00803757 -0.00803757 -0.00803757 ...  0.0938005   0.1081864
  0.1288557 ]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 244 373],[ 8.11183059  9.45931195 11.52401814],[110 244 373],[ 8.11183059  9.45931195 11.52401814],[ 23.42617456 237.063627   738.3007185 ],[176.22860391  19.1930251  202.116739  ],[32.39601173 10.950446   49.846212  ],[143.83259218   8.2425791  152.270527  ],518.2633846199996,18.47365068052547,1.0
61,61,hHBB_Nluc_hHBB,PSU,0.5,8,8,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01107788 -0.01107788 -0.01107788 ...  0.07904536  0.07762705
  0.07222514]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 242 372],[ 8.1677262  10.40276318 11.72877659],[110 244 373],[ 8.11183059  9.45931195 11.52401814],[ 23.42617456 237.063627   738.3007185 ],[180.23521817  48.3690217  218.01433   ],[33.01062971 22.563617   57.02406   ],[147.22458845  25.8054047  160.99027   ],612.1337245499997,6.238626050301781,0.33770401736990774
62,62,hHBB_Nluc_hHBB,PSU,1.0,8,9,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00428391 0.00428391 0.00428391 ... 0.1713935  0.2209854  0.2706307 ],"[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 242 372],[ 8.13593093 11.04141433 11.6248608 ],[110 244 373],[ 8.11183059  9.45931195 11.52401814],[ 23.42617456 237.063627   738.3007185 ],[180.40891913  49.8478488  180.519322  ],[31.7766132 23.769478  52.236552 ],[148.63230593  26.0783708  128.28277   ],603.8170806999995,4.919125162527411,0.2662779137484205
63,63,hHBB_Nluc_hHBB,PSU,1.5,8,10,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04505539 0.04505539 0.04505539 ... 0.1941092  0.1790965  0.1549109 ],"[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 242 372],[ 8.0954339  10.17053338 11.75848362],[110 244 373],[ 8.11183059  9.45931195 11.52401814],[ 23.42617456 237.063627   738.3007185 ],[181.51064123  43.5989296  149.957503  ],[30.42903402 22.886066   47.263884  ],[151.08160721  20.7128636  102.693619  ],551.30327818,4.957963369198257,0.26838027063188097
64,64,hHBB_Nluc_hHBB,PSU,2.0,8,11,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02481079 0.02481079 0.02481079 ... 0.168215   0.1671827  0.1862233 ],"[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 241 372 462],[ 8.19737022 10.85352869 12.21911159 38.88753229],[110 244 373],[ 8.11183059  9.45931195 11.52401814],[ 23.42617456 237.063627   738.3007185 ],[180.48129839  54.304682   150.003653  ],[26.44308927 28.35766    48.785772  ],[154.03820912  25.947022   101.217881  ],602.4661008599996,3.900944046680964,0.21116259661623116
65,65,hHBB_Nluc_hHBB,PSU,3.0,8,12,nts-Eukaryote Total RNA Nano_2020-10-21_17-42-16_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01143265 -0.01143265 -0.01143265 ...  0.09484916  0.08896202
  0.08304965]","[7.98179948e+00 7.69897464e+00 7.42190718e+00 ... 1.03910727e+04
 1.04144290e+04 1.04378103e+04]",[110 241 373],[ 8.1620392  11.12295122 12.35043913],[110 241 373],[ 8.1620392  11.12295122 12.35043913],[ 23.42617456 229.20081036 738.3007185 ],[176.48817098  56.6264453  100.097704  ],[24.90211953 27.2683788  36.648222  ],[151.58605145  29.3580665   63.449482  ],505.1912585237,2.1612282266613163,0.11698977446507837
66,66,hHBB_Nluc_hHBB,PSU,4.0,9,1,nts-Eukaryote Total RNA Nano_2020-10-22_10-58-16_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.1502953  0.1502953  0.1502953  ... 0.07552437 0.0675363  0.0730605 ],"[   25.00044755    24.38555415    23.78071439 ... 11283.60648849
 11312.72946375 11341.90324546]",[110 188 243 374],[ 7.53068885  4.98938451 11.76310389 14.16823503],[110 243 374],[ 7.53068885 11.76310389 14.16823503],[ 23.3095643  235.22774142 737.70119808],[142.81449917 116.750743   165.016945  ],[18.95586616 63.526476   61.07337   ],[123.85863301  53.224267   103.943575  ],789.6713235906005,1.9529357726993213,0.10571466390008472
67,67,hHBB_Nluc_hHBB,PSU,5.0,9,2,nts-Eukaryote Total RNA Nano_2020-10-22_10-58-16_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03638458 -0.03638458 -0.03638458 ... -0.09440259 -0.1004865
 -0.07271222]","[   25.00044755    24.38555415    23.78071439 ... 11283.60648849
 11312.72946375 11341.90324546]",[ 24 110 243 373],[ 4.07915874 10.4809274  14.44696185 12.10081176],[110 243 374],[ 7.53068885 11.76310389 14.16823503],[ 23.3095643  235.22774142 737.70119808],[177.186578  92.752419 103.137058],[68.9277232 49.653516  44.221842 ],[108.2588548  43.098903   58.915216 ],679.2478067289204,1.3669771594882592,0.07399604892005983
68,68,hHBB_Nluc_hHBB,PSU,18.0,9,3,nts-Eukaryote Total RNA Nano_2020-10-22_10-58-16_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01966858 0.01966858 0.01966858 ... 0.1029785  0.0763249  0.05018244],"[   25.00044755    24.38555415    23.78071439 ... 11283.60648849
 11312.72946375 11341.90324546]",[110 244 511],[ 7.60379652 15.69196328  6.76873134],[110 243 374],[ 7.53068885 11.76310389 14.16823503],[ 23.3095643  235.22774142 737.70119808],[150.7539201 174.094041   26.2766827],[ 24.9902864 104.616552   22.5980625],[125.7636337  69.477489    3.6786202],792.2047071973003,0.052946936525008814,0.0028660786890825187
69,69,hHBB_Nluc_hHBB,PSU,24.0,9,4,nts-Eukaryote Total RNA Nano_2020-10-22_10-58-16_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04267502 0.03281021 0.01897049 ... 0.1203156  0.1289291  0.1422806 ],"[   25.00044755    24.38555415    23.78071439 ... 11283.60648849
 11312.72946375 11341.90324546]",[110 242],[ 7.66042736 16.19738902],[110 243 374],[ 7.53068885 11.76310389 14.16823503],[ 23.3095643  235.22774142 737.70119808],[154.9580646 180.018121   16.4850121],[ 15.6278408 110.868168   13.960647 ],[139.3302238  69.149953    2.5243651],816.6397306693998,0.03650566617160245,0.0019760937782636514
70,70,hHBB_GCrich-2_hHBB,5mC,0.0,4,5,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.118721   -0.118721   -0.118721   ...  0.02971663  0.02841246
 -0.00022611]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243 276 403],[ 7.87804167 10.49485959 10.80942954 10.51477035],[110 243 403],[ 7.87804167 10.49485959 10.51477035],[ 23.24409012 237.93690788 906.22945422],[155.88790372  69.0394147  202.426191  ],[25.3433024 26.1697997 50.283618 ],[130.54460132  42.869615   152.142573  ],656.3121714,3.548960563326729,1.0
71,71,hHBB_GCrich-2_hHBB,5mC,0.5,4,6,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00560379 0.00560379 0.00560379 ... 0.06440555 0.05387348 0.02904421],"[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243 276 403],[ 7.96855379 10.90148978 10.20290499 11.29656498],[110 243 403],[ 7.96855379 10.90148978 11.29656498],[ 23.24409012 237.93690788 906.22945422],[154.99567117  83.982127   187.49413   ],[27.2860768 31.957409  52.863792 ],[127.70959437  52.024718   134.630338  ],698.4165139850005,2.587814853700889,0.7291754325032904
72,72,hHBB_GCrich-2_hHBB,5mC,1.0,4,7,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05542755 -0.05542755 -0.05542755 ... -0.04132631 -0.07067505
 -0.08308027]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243 276 404],[ 7.89551449 11.1033532  10.73541686 11.41723338],[110 243 404],[ 7.89551449 11.1033532  11.41723338],[ 23.24409012 237.93690788 912.14343198],[145.35873839  77.1549544  143.807562  ],[30.0197612 30.881184  44.033268 ],[115.33897719  46.2737704   99.774294  ],627.7481658299998,2.156173856971898,0.607550807764046
73,73,hHBB_GCrich-2_hHBB,5mC,1.5,4,8,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.128006   -0.128006   -0.128006   ...  0.09124104  0.09035804
  0.1111788 ]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243 277 404],[ 7.82515998 10.91813952  9.94764172 11.94885702],[110 243 404],[ 7.82515998 10.91813952 11.94885702],[ 23.24409012 237.93690788 912.14343198],[148.95892276  77.7209701  124.850365  ],[29.7268212 30.7722041 46.088952 ],[119.23210156  46.948766    78.761413  ],615.0274116129993,1.6776034752436308,0.47270276615051393
74,74,hHBB_GCrich-2_hHBB,5mC,2.0,4,9,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01504135 -0.01504135 -0.01504135 ...  0.04100198  0.0621728
  0.1011712 ]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 242 274 402],[ 7.90046085 10.76337794 10.76336965 12.34857091],[110 242 402],[ 7.90046085 10.76337794 12.34857091],[ 23.24409012 235.32856962 900.33892542],[149.0640438  72.795035  116.063867 ],[20.3783648 31.335997  47.568781 ],[128.685679  41.459038  68.495086],613.6296558399997,1.6521146969208502,0.4655207257000875
75,75,hHBB_GCrich-2_hHBB,5mC,3.0,4,10,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1256027  -0.1256027  -0.1256027  ... -0.03263281 -0.03258941
 -0.0301204 ]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 242 275 402],[ 8.02164858 10.99032741 10.26912108 14.82358391],[110 242 402],[ 8.02164858 10.99032741 14.82358391],[ 23.24409012 235.32856962 900.33892542],[149.54448363  78.874601   104.132161  ],[14.55975096 35.304445   47.25945   ],[134.98473266  43.570156    56.872711  ],603.7367364270001,1.3053134581386394,0.3678016238408305
