Time,Value
61.4,2.727136
61.45,2.592011
61.5,2.555146
61.55,2.535627
61.6,2.547838
61.65,2.547159
61.7,2.529249
61.75,2.440931
61.8,2.268642
61.85,2.133308
61.9,1.993412
61.95,1.874223
62,1.777258
62.05,1.694632
62.1,1.69813
62.15,1.740001
62.2,1.735522
62.25,1.661576
62.3,1.553174
62.35,1.50376
62.4,1.428393
62.45,1.36942
62.5,1.358151
62.55,1.34111
62.6,1.300863
62.65,1.263593
62.7,1.280246
62.75,1.326832
62.8,1.326807
62.85,1.296812
62.9,1.220005
62.95,1.103403
63,1.027297
63.05,0.9819026
63.1,0.9837044
63.15,1.022162
63.2,1.008639
63.25,0.9428746
63.3,0.8900154
63.35,0.8720241
63.4,0.8432122
63.45,0.783912
63.5,0.7569956
63.55,0.7310965
63.6,0.6532337
63.65,0.6120185
63.7,0.5842351
63.75,0.5500769
63.8,0.5533009
63.85,0.5481347
63.9,0.5480499
63.95,0.5406781
64,0.5050157
64.05,0.4789808
64.1,0.4665893
64.15,0.4969185
64.2,0.5209227
64.25,0.5315089
64.3,0.5044318
64.35,0.4627057
64.4,0.4154017
64.45,0.4204119
64.5,0.4817085
64.55,0.5358176
64.6,0.5263018
64.65,0.4812329
64.7,0.3768838
64.75,0.3392119
64.8,0.3353669
64.85,0.3544627
64.9,0.3805837
64.95,0.3996785
65,0.3933462
65.05,0.3943804
65.1,0.3678263
65.15,0.3416223
65.2,0.2949356
65.25,0.2650475
65.3,0.2426408
65.35,0.2382016
65.4,0.2323087
65.45,0.2261007
65.5,0.2291199
65.55,0.2522162
65.6,0.2663306
65.65,0.2738793
65.7,0.237321
65.75,0.2344375
65.8,0.2402263
65.85,0.2202268
65.9,0.2244884
65.95,0.2064555
66,0.1936234
66.05,0.1975139
66.1,0.2030249
66.15,0.2185308
66.2,0.1956898
66.25,0.1633952
66.3,0.1512391
66.35,0.1356027
66.4,0.1554246
66.45,0.152515
66.5,0.1569507
66.55,0.1715597
66.6,0.2035018
66.65,0.2367501
66.7,0.2423185
66.75,0.2200316
66.8,0.1832556
66.85,0.1477658
66.9,0.1597288
66.95,0.1540031
67,0.146685
67.05,0.1542321
67.1,0.173547
67.15,0.1815773
67.2,0.1863952
67.25,0.2010815
67.3,0.1780112
67.35,0.1143763
67.4,7.63E-02
67.45,8.89E-02
67.5,0.1122139
67.55,0.1172275
67.6,0.1545556
67.65,0.1629262
67.7,0.1556055
67.75,0.1482394
67.8,0.1357706
67.85,0.1361236
67.9,0.1326067
67.95,0.1246396
68,0.1133278
68.05,0.1121563
68.1,0.1099985
68.15,0.0850886
68.2,5.76E-02
68.25,0.0694751
68.3,5.52E-02
68.35,0.0407433
68.4,4.77E-02
68.45,6.52E-02
68.5,0.0436529
68.55,3.97E-02
68.6,0.1181461
68.65,0.2082113
68.7,0.2185262
68.75,0.2136349
68.8,0.1548464
68.85,8.70E-02
68.9,5.55E-02
68.95,6.56E-02
69,0.1067057
69.05,0.1009507
69.1,7.16E-02
69.15,6.46E-02
69.2,5.84E-02
69.25,9.36E-02
69.3,0.1197362
69.35,0.1508415
69.4,0.1819322
69.45,0.1782912
69.5,0.168828
69.55,0.1400943
69.6,0.1311498
69.65,0.1677152
69.7,0.1899848
69.75,0.2117378
69.8,0.2089844
69.85,0.2089844
69.9,0.2089844
69.95,0.2089844
