Sample,Nucleotide,Timepoint,Plate,FileNumber,FracIntactNorm,FracIntact,TotalArea,Total_mRNA,PeakArea1,PeakArea2,PeakArea3
C3_Yellowstone_SINV_URE-natural,natural,1.000000,9,10, 0.34902, 0.21113,626.47109,486.75091,72.43619,67.28398,102.76718
C3_Yellowstone_SINV_URE-natural,natural,3.000000,9,11, 0.04550, 0.02753,595.30428,453.37323,68.17960,73.75144,12.47975
C3_Yellowstone_SINV_URE-natural,natural,5.000000,9,12, 0.00591, 0.00357,639.22049,492.89910,65.08018,81.24122, 1.76166
C3_Curevac_2_SINV_URE-natural,natural,0.000000,10,1, 1.00000, 0.72757,1192.00972,986.00538,106.67455,99.32979,717.38895
C3_Curevac_2_SINV_URE-natural,natural,1.000000,10,2, 0.40799, 0.29684,826.51886,656.89669,110.15163,59.47053,194.99381
C3_Curevac_2_SINV_URE-natural,natural,3.000000,10,3, 0.05457, 0.03970,847.31468,647.30903,108.37305,91.63259,25.70120
C3_Curevac_2_SINV_URE-natural,natural,5.000000,10,4, 0.01435, 0.01044,932.34006,726.41717,104.49558,101.42732, 7.58542
C3_LocalDesign_SINV_URE-natural,natural,0.000000,10,5, 1.00000, 0.51920,556.30024,394.33594,105.02172,56.94258,204.73813
C3_LocalDesign_SINV_URE-natural,natural,1.000000,10,6, 0.25383, 0.13179,745.40633,537.17783,102.90792,105.32057,70.79399
C3_LocalDesign_SINV_URE-natural,natural,3.000000,10,7, 0.04665, 0.02422,551.55513,391.70853,95.59248,64.25412, 9.48801
C3_LocalDesign_SINV_URE-natural,natural,5.000000,10,8, 0.00721, 0.00374,647.04915,464.48875,92.97214,89.58826, 1.73841
C3_-423.7 kCal_SINV_URE-natural,natural,0.000000,10,9, 1.00000, 0.66417,677.33075,532.08139,92.62697,52.62239,353.39234
C3_-423.7 kCal_SINV_URE-natural,natural,1.000000,10,10, 0.32313, 0.21462,666.14756,495.58718,90.26372,80.29665,106.36064
C3_-423.7 kCal_SINV_URE-natural,natural,3.000000,10,11, 0.05939, 0.03945,571.81211,429.39659,85.51982,56.89570,16.93854
C3_-423.7 kCal_SINV_URE-natural,natural,5.000000,10,12, 0.01004, 0.00667,614.03057,438.59287,89.62553,85.81218, 2.92385
