,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area
44,RNA-2,PSU,2.0,8,1,Eukaryote Total RNA Nano_2020-10-21_17-42-16_1_nts.csv,[ 23.42617456 928.75106912],828.7510691193218,1028.7510691193218,136.84509062191012,318.1891810630404,1221.6947998717774,903.5056188087369,6.602397022082703
45,RNA-2,PSU,3.0,8,2,Eukaryote Total RNA Nano_2020-10-21_17-42-16_2_nts.csv,[ 23.42617456 916.82088176],816.8208817571083,1016.8208817571083,162.79646713044443,445.5490765191593,1310.0637077990064,864.514631279847,5.310401672212793
46,RNA-2,PSU,4.0,8,3,Eukaryote Total RNA Nano_2020-10-21_17-42-16_3_nts.csv,[ 23.42617456 916.82088176],816.8208817571083,1016.8208817571083,211.21065152391964,630.2248771118818,1670.0977944423475,1039.8729173304657,4.923392403875521
47,RNA-2,PSU,5.0,8,4,Eukaryote Total RNA Nano_2020-10-21_17-42-16_4_nts.csv,[ 23.42617456 922.77445791],822.7744579133818,1022.7744579133818,187.89064839830218,646.7208265424413,1465.9191961184208,819.1983695759795,4.359974147512612
48,RNA-2,PSU,18.0,8,5,Eukaryote Total RNA Nano_2020-10-21_17-42-16_5_nts.csv,[ 23.42617456 791.61355066],691.6135506613949,891.6135506613949,201.11249979007084,879.3548379711015,1233.1982542395383,353.84341626843684,1.7594302524099326
49,RNA-2,PSU,24.0,8,6,Eukaryote Total RNA Nano_2020-10-21_17-42-16_6_nts.csv,[ 23.42617456 791.61355066],691.6135506613949,891.6135506613949,187.62445658410593,782.6233954689253,1149.5624852094566,366.93908974053124,1.9557103397980764
50,RNA-3,5mC,0.0,3,7,Eukaryote Total RNA Nano_2020-10-21_16-34-50_7_nts.csv,[ 23.20820135 776.2247992 ],676.2247992027274,876.2247992027274,211.16723523468625,340.12699616559775,1625.6524172571162,1285.5254210915184,6.087712516872307
51,RNA-3,5mC,0.5,3,8,Eukaryote Total RNA Nano_2020-10-21_16-34-50_8_nts.csv,[ 23.20820135 776.2247992 ],676.2247992027274,876.2247992027274,248.24745446830872,408.8574233191949,1311.1678314224198,902.310408103225,3.634721693464188
52,RNA-3,5mC,1.0,3,9,Eukaryote Total RNA Nano_2020-10-21_16-34-50_9_nts.csv,[ 23.20820135 770.85162592],670.8516259164949,870.8516259164949,242.3742842397563,393.53077524803075,973.9617356776688,580.430960429638,2.394771220264756
53,RNA-3,5mC,1.5,3,10,Eukaryote Total RNA Nano_2020-10-21_16-34-50_10_nts.csv,[ 23.20820135 765.50150664],665.5015066407988,865.5015066407988,289.12073602597474,434.56703989746705,833.588123031279,399.02108313381194,1.3801192146175352
54,RNA-3,5mC,2.0,3,11,Eukaryote Total RNA Nano_2020-10-21_16-34-50_11_nts.csv,[ 23.20820135 770.85162592],670.8516259164949,870.8516259164949,332.9982964105256,437.3700930000892,858.0783767042518,420.7082837041626,1.2633947027329737
55,RNA-3,5mC,3.0,3,12,Eukaryote Total RNA Nano_2020-10-21_16-34-50_12_nts.csv,[ 23.20820135 770.85162592],670.8516259164949,870.8516259164949,357.58909529206153,353.59236762697543,524.43429121104,170.84192358406455,0.47776044021848346
56,RNA-3,5mC,4.0,4,1,Eukaryote Total RNA Nano_2020-10-21_16-41-52_1_nts.csv,[23.24409012],-76.75590987635633,123.24409012364367,356.25494812154943,77.70516313606417,167.3237094228953,89.61854628683112,0.2515573376857476
57,RNA-3,5mC,5.0,4,2,Eukaryote Total RNA Nano_2020-10-21_16-41-52_2_nts.csv,[23.24409012],-76.75590987635633,123.24409012364367,335.49598985507475,76.49502392925044,171.07061018138853,94.5755862521381,0.2818978143166248
58,RNA-3,5mC,18.0,4,3,Eukaryote Total RNA Nano_2020-10-21_16-41-52_3_nts.csv,[23.24409012],-76.75590987635633,123.24409012364367,411.1197428437826,167.91628038349873,275.7498914804994,107.83361109700067,0.2622924658181043
59,RNA-3,5mC,24.0,4,4,Eukaryote Total RNA Nano_2020-10-21_16-41-52_4_nts.csv,[23.24409012],-76.75590987635633,123.24409012364367,423.9081053638908,209.28677076895158,316.046122634491,106.7593518655394,0.25184550735092726
60,RNA-3,PSU,0.0,8,7,Eukaryote Total RNA Nano_2020-10-21_17-42-16_7_nts.csv,[ 23.42617456 738.3007185 ],638.3007185036273,838.3007185036273,73.77230857431898,194.4139935217506,1161.546533602972,967.1325400812214,13.109696019705307
61,RNA-3,PSU,0.5,8,8,Eukaryote Total RNA Nano_2020-10-21_17-42-16_8_nts.csv,[ 23.42617456 733.09140465],633.0914046546773,833.0914046546773,169.1211343872694,256.66314049721706,1268.9224053784344,1012.2592648812174,5.985409621030873
62,RNA-3,PSU,1.0,8,9,Eukaryote Total RNA Nano_2020-10-21_17-42-16_9_nts.csv,[ 23.42617456 733.09140465],633.0914046546773,833.0914046546773,176.79807620380745,265.6653591595004,1069.7076597310893,804.0423005715888,4.547800054366617
63,RNA-3,PSU,1.5,8,10,Eukaryote Total RNA Nano_2020-10-21_17-42-16_10_nts.csv,[ 23.42617456 733.09140465],633.0914046546773,833.0914046546773,160.06683720437584,233.1952036871645,895.4288044611394,662.2336007739749,4.137231748562788
64,RNA-3,PSU,2.0,8,11,Eukaryote Total RNA Nano_2020-10-21_17-42-16_11_nts.csv,[ 23.42617456 733.09140465],633.0914046546773,833.0914046546773,197.549194240255,257.5159382747849,908.0066043805408,650.490666105756,3.29280343869509
65,RNA-3,PSU,3.0,8,12,Eukaryote Total RNA Nano_2020-10-21_17-42-16_12_nts.csv,[ 23.42617456 738.3007185 ],638.3007185036273,838.3007185036273,192.84917033566254,196.07147058645765,593.4379208371276,397.36645025067,2.0605038100969586
66,RNA-3,PSU,4.0,9,1,Eukaryote Total RNA Nano_2020-10-22_10-58-16_1_nts.csv,[ 23.3095643  737.70119808],637.7011980826304,837.7011980826304,401.8080131760369,339.93115071066006,924.2131790425157,584.2820283318556,1.4541323447321959
67,RNA-3,PSU,5.0,9,2,Eukaryote Total RNA Nano_2020-10-22_10-58-16_2_nts.csv,[ 23.3095643  732.57711759],632.5771175912809,832.5771175912809,317.70546940557176,254.88496337523162,592.1146867910204,337.2297234157888,1.0614539436376307
68,RNA-3,PSU,18.0,9,3,Eukaryote Total RNA Nano_2020-10-22_10-58-16_3_nts.csv,[23.3095643],-76.69043570494478,123.30956429505522,599.9294739203616,152.85317587051262,221.70330995745772,68.8501340869451,0.11476371320287009
69,RNA-3,PSU,24.0,9,4,Eukaryote Total RNA Nano_2020-10-22_10-58-16_4_nts.csv,[23.3095643],-76.69043570494478,123.30956429505522,609.6940473570949,185.02481048052343,262.60396441767625,77.57915393715282,0.12724276097731865
70,RNA-4,5mC,0.0,4,5,Eukaryote Total RNA Nano_2020-10-21_16-41-52_5_nts.csv,[ 23.24409012 906.22945422],806.2294542189337,1006.2294542189337,228.03179181443258,258.15039537791495,1305.668284873312,1047.517889495397,4.593736167928044
71,RNA-4,5mC,0.5,4,6,Eukaryote Total RNA Nano_2020-10-21_16-41-52_6_nts.csv,[ 23.24409012 906.22945422],806.2294542189337,1006.2294542189337,276.6338445846715,302.23916531944377,1204.7535129526404,902.5143476331966,3.262487093682266
72,RNA-4,5mC,1.0,4,7,Eukaryote Total RNA Nano_2020-10-21_16-41-52_7_nts.csv,[ 23.24409012 912.14343198],812.14343198395,1012.14343198395,248.39565463793704,261.2662426670859,926.0860770520114,664.8198343849256,2.6764551713031004
73,RNA-4,5mC,1.5,4,8,Eukaryote Total RNA Nano_2020-10-21_16-41-52_8_nts.csv,[ 23.24409012 912.14343198],812.14343198395,1012.14343198395,255.5050456168416,276.96521866754847,817.3103326212176,540.3451139536692,2.1148119116362856
